DDB_G0273547	DDB_G0273417
DDB_G0273545	DDB_G0273479
DDB_G0273543	DDB_G0273481
DDB_G0273541	DDB_G0273455
DDB_G0273539	DDB_G0273419
DDB_G0273537	DDB_G0273483
DDB_G0273535	DDB_G0273399
DDB_G0273533	DDB_G0273397
DDB_G0273531	DDB_G0273445
DDB_G0273529	DDB_G0273421
DDB_G0273527	DDB_G0273423
DDB_G0273583	DDB_G0273525
DDB_G0273523	DDB_G0273425
DDB_G0273521	DDB_G0273427
DDB_G0273519	DDB_G0273457
DDB_G0273517	DDB_G0273447
DDB_G0273515	DDB_G0273459
DDB_G0273513	DDB_G0273429
DDB_G0273511	DDB_G0273431
DDB_G0273509	DDB_G0273433
DDB_G0273507	DDB_G0273461
DDB_G0273505	DDB_G0273435
DDB_G0273503	DDB_G0273437
DDB_G0273501	DDB_G0273439
DDB_G0273499	DDB_G0273463
DDB_G0273497	DDB_G0273441
DDB_G0273495	DDB_G0273465
DDB_G0273493	DDB_G0273485
DDB_G0273491	DDB_G0273487
